Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
A 22ef 3da8 4cd4
A 22f0 3db0 4ce0
A 22f1 3da8 4cdc
A 22f2 3dc0 4ce0
A 22f3 3dbc 4cdc
A 22f4 3da8 4cdc
A 22f5 3d98 4ce0
A 22f6 3d88 4cdc
A 22f7 3d78 4cdc
A 22f8 3d78 4cd4
A 22f9 3d68 4cdc
A 22fa 3d84 4cdc
A 22fb 3da4 4ce0
A 22fc 3dac 4cdc
A 22fd 3da0 4cdc
A 22fe 3da0 4ce4
A 22ff 3db0 4cdc
A 2300 3dc4 4ce0
A 2301 3dc4 4ce4
T 2301 1d28 60fc
D 2301 086c 0010
A 2302 3da8 4cdc
A 2303 3dc0 4cd4
A 2304 3dbc 4cd8
A 2305 3ddc 4ce4
A 2306 3de0 4ce4
A 2307 3df0 4cdc
A 2308 3de8 4cdc
A 2309 3ddc 4ce0
A 230a 3de4 4ce0
A 230b 3dd4 4ce4
A 230c 3dc0 4cdc
A 230d 3dac 4cd8
A 230e 3dc4 4cd8
A 230f 3db0 4ce4
A 2310 3dc0 4cdc
A 2311 3dbc 4ce0
A 2312 3db8 4cdc
A 2313 3dac 4ce0
A 2314 3db8 4ce4
A 2315 3de0 4ce0
A 2316 3dc4 4ce0
A 2317 3ddc 4cd8
A 2318 3de8 4cd8
A 2319 3dd4 4ce4
A 231a 3db8 4ce4
A 231b 3db8 4cdc
A 231c 3dcc 4cd8
A 231d 3db4 4ce0
A 231e 3dd4 4ce0
A 231f 3ddc 4ce0
A 2320 3df0 4ce0
A 2321 3de8 4cdc
A 2322 3de0 4cd8
A 2323 3dcc 4cd8
A 2324 3dd4 4ce0
A 2325 3de4 4cdc
A 2326 3dcc 4ce0
A 2327 3dd8 4cdc
A 2328 3de0 4cdc
A 2329 3de8 4ce0
A 232a 3dd0 4ce0
A 232b 3dd8 4cdc
A 232c 3df4 4cd8
A 232d 3dec 4cdc
A 232e 3de8 4cdc
A 232f 3de0 4ce0
A 2330 3dc0 4cdc
A 2331 3dc0 4cdc
A 2332 3db0 4ce0
A 2333 3ddc 4cdc
A 2334 3de0 4ce0
A 2335 3dd0 4cdc
A 2336 3de4 4cd8
A 2337 3df4 4cdc
A 2338 3dd4 4cdc
A 2339 3dc4 4ce0
A 233a 3db4 4ce0
A 233b 3dc0 4cdc
A 233c 3dcc 4ce0
A 233d 3dcc 4ce0
A 233e 3dc4 4cdc
A 233f 3dcc 4cdc
A 2340 3ddc 4cdc
A 2341 3dc4 4cd4
A 2342 3db8 4cdc
A 2343 3dd0 4ce0
A 2344 3dc8 4ce4
A 2345 3dd4 4ce0
A 2346 3de8 4cdc
A 2347 3dd0 4cdc
A 2348 3dc4 4ce0
A 2349 3dbc 4ce4
A 234a 3dbc 4cdc
A 234b 3db4 4cd8
A 234c 3dc4 4cdc
A 234d 3dc4 4cdc
A 234e 3dc8 4cdc
A 234f 3da8 4cd8
A 2350 3dac 4cdc
A 2351 3db8 4ce0
A 2352 3dbc 4ce0
A 2353 3dc8 4ce4
A 2354 3dbc 4cdc
A 2355 3db0 4cdc
A 2356 3db8 4cdc
A 2357 3dcc 4ce0
A 2358 3db4 4ce4
A 2359 3d98 4ce0
A 235a 3d9c 4ce0
A 235b 3da4 4ce0
A 235c 3db0 4ce0
A 235d 3dc8 4ce0
A 235e 3db0 4ce0
A 235f 3db8 4cdc
A 2360 3dbc 4cd4
A 2361 3dac 4cd8
A 2362 3db0 4ce0
A 2363 3db0 4ce8
A 2364 3dcc 4ce0
A 2365 3db4 4cdc
A 2366 3db8 4cdc
A 2367 3d9c 4ce0
A 2368 3db0 4ce4
A 2369 3dac 4ce0
A 236a 3dc8 4cd8
A 236b 3dc0 4cdc
A 236c 3dc4 4ce4
A 236d 3db8 4ce0
A 236e 3db0 4cdc
A 236f 3da4 4ce0
A 2370 3db0 4cdc
A 2371 3db8 4ce4
A 2372 3dcc 4ce4
A 2373 3dc8 4ce0
A 2374 3dc4 4cd4
A 2375 3dbc 4cd8
A 2376 3dc0 4cdc
A 2377 3dbc 4ce0
A 2378 3db4 4ce0
A 2379 3d9c 4cdc
A 237a 3db8 4ce4
A 237b 3dac 4ce4
A 237c 3da4 4ce0
A 237d 3db8 4ce0
A 237e 3da4 4cd8
A 237f 3db4 4cd8
A 2380 3dc4 4cd8
A 2381 3db4 4ce0
T 2381 1d28 6100
D 2381 0868 000c
A 2382 3dc8 4ce0
A 2383 3dc4 4ce0
A 2384 3dc0 4cdc
A 2385 3db0 4cdc
A 2386 3dc4 4cdc
A 2387 3dbc 4ce4
A 2388 3dc8 4ce0
A 2389 3dc0 4cdc
A 238a 3db8 4ce0
A 238b 3dc4 4ce0
A 238c 3dc0 4ce0
A 238d 3ddc 4cdc
A 238e 3dd0 4cdc
A 238f 3dd0 4ce0
A 2390 3dd0 4ce4
A 2391 3de0 4ce4
A 2392 3ddc 4cdc
A 2393 3ddc 4cd8
A 2394 3dd4 4cd8
A 2395 3dd8 4ce0
A 2396 3de0 4ce4
A 2397 3ddc 4ce0
A 2398 3dd4 4ce0
A 2399 3dd4 4ce0
A 239a 3dd8 4ce4
A 239b 3df0 4cdc
A 239c 3dd8 4cdc
A 239d 3dc0 4cdc
A 239e 3dc0 4cd4
A 239f 3dac 4cd8
A 23a0 3dc8 4ce0
A 23a1 3dd0 4ce0
A 23a2 3dc4 4cdc
A 23a3 3dd0 4ce0
A 23a4 3dd0 4ce0
A 23a5 3dd0 4ce0
A 23a6 3dcc 4ce0
A 23a7 3ddc 4ce0
A 23a8 3dc8 4cd8
A 23a9 3dd0 4cdc
A 23aa 3de4 4ce4
A 23ab 3dd4 4ce0
A 23ac 3ddc 4ce0
A 23ad 3dd4 4cdc
A 23ae 3ddc 4ce0
A 23af 3de4 4ce4
A 23b0 3de4 4ce0
A 23b1 3df0 4cdc
A 23b2 3de0 4cdc
A 23b3 3de8 4cd8
A 23b4 3de8 4ce0
A 23b5 3df0 4ce4
A 23b6 3de4 4cdc
A 23b7 3dd0 4cdc
A 23b8 3dd4 4ce4
A 23b9 3de0 4cdc
A 23ba 3dd4 4cdc
A 23bb 3ddc 4ce0
A 23bc 3dd8 4ce0
A 23bd 3dcc 4cd0
A 23be 3de0 4cd8
A 23bf 3de4 4ce0
A 23c0 3ddc 4ce0
A 23c1 3dd0 4ce0
A 23c2 3dcc 4ce0
A 23c3 3dd4 4cdc
A 23c4 3dec 4ce0
A 23c5 3ddc 4ce0
A 23c6 3dcc 4cdc
A 23c7 3dd4 4cd8
A 23c8 3dc4 4cd4
A 23c9 3dc0 4ce0
A 23ca 3dd8 4ce0
A 23cb 3dd8 4ce0
A 23cc 3dcc 4ce0
A 23cd 3df4 4cdc
A 23ce 3ddc 4cdc
A 23cf 3dec 4ce4
A 23d0 3dec 4cdc
A 23d1 3ddc 4cdc
A 23d2 3dd8 4cdc
A 23d3 3de0 4ce0
A 23d4 3ddc 4ce4
A 23d5 3dec 4cdc
A 23d6 3df0 4cdc
A 23d7 3de8 4ce0
A 23d8 3df8 4cdc
A 23d9 3df8 4ce0
A 23da 3dfc 4ce0
A 23db 3e08 4cd8
A 23dc 3df8 4cd4
A 23dd 3df8 4cd8
A 23de 3e00 4ce0
A 23df 3e00 4ce4
A 23e0 3e0c 4ce0
A 23e1 3df4 4ce0
A 23e2 3df0 4cd8
A 23e3 3e10 4cdc
A 23e4 3e08 4ce0
A 23e5 3dfc 4cd8
A 23e6 3df8 4cd4
A 23e7 3ddc 4cdc
A 23e8 3df4 4ce0
A 23e9 3e00 4ce0
A 23ea 3e04 4ce0
A 23eb 3df0 4cdc
A 23ec 3e08 4cdc
A 23ed 3dfc 4ce0
A 23ee 3e00 4ce4
A 23ef 3dfc 4cdc
A 23f0 3df4 4cd4
A 23f1 3df4 4cd8
A 23f2 3df0 4cdc
A 23f3 3e00 4ce0
A 23f4 3df8 4cdc
A 23f5 3df0 4cdc
A 23f6 3df0 4ce0
A 23f7 3df4 4ce4
A 23f8 3df4 4ce0
A 23f9 3de4 4cdc
A 23fa 3dfc 4cdc
A 23fb 3dfc 4cd4
A 23fc 3df8 4cd8
A 23fd 3de8 4ce0
A 23fe 3dec 4cdc
A 23ff 3df4 4cdc
A 2400 3de4 4ce0
A 2401 3df4 4cdc
T 2401 1d24 60fc
D 2401 0864 000c
A 2402 3e08 4cdc
A 2403 3e04 4ce4
A 2404 3e18 4cd0
A 2405 3dfc 4cd8
A 2406 3e00 4cdc
A 2407 3dfc 4ce0
A 2408 3de4 4cdc
A 2409 3e08 4ce0
A 240a 3dec 4cdc
A 240b 3e04 4cdc
A 240c 3e04 4cdc
A 240d 3df8 4ce4
A 240e 3dec 4cdc
A 240f 3df4 4cd8
A 2410 3dd0 4cdc
A 2411 3ddc 4ce4
A 2412 3dec 4ce0
A 2413 3dd8 4cdc
A 2414 3dec 4cdc
A 2415 3de4 4ce4
A 2416 3dec 4ce0
A 2417 3dec 4cd8
A 2418 3dfc 4cdc
A 2419 3dd8 4ce0
A 241a 3dd8 4cd8
A 241b 3e04 4cdc
A 241c 3df4 4ce4
A 241d 3df0 4ce0
A 241e 3de8 4ce4
A 241f 3df0 4cdc
A 2420 3dec 4cdc
A 2421 3df8 4ce8
A 2422 3dec 4ce4
A 2423 3df0 4cd8
A 2424 3df8 4cd8
A 2425 3df8 4cdc
A 2426 3df0 4cdc
A 2427 3df8 4ce4
A 2428 3df8 4ce0
A 2429 3dec 4cdc
A 242a 3de0 4ce4
A 242b 3e00 4cdc
A 242c 3dec 4ce0
A 242d 3dec 4cdc
A 242e 3df4 4cd4
A 242f 3dd8 4cd8
A 2430 3dc0 4cdc
A 2431 3dec 4ce0
A 2432 3df0 4cdc
A 2433 3dec 4cdc
A 2434 3ddc 4cdc
A 2435 3de8 4ce0
A 2436 3df0 4ce0
A 2437 3dfc 4ce0
A 2438 3ddc 4cdc
A 2439 3de0 4cd8
A 243a 3de8 4cd8
A 243b 3df8 4cdc
A 243c 3dec 4ce4
A 243d 3df0 4ce0
A 243e 3de8 4ce0
A 243f 3df8 4cdc
A 2440 3e08 4cdc
A 2441 3e00 4ce4
A 2442 3dec 4cd8
A 2443 3de0 4cd4
A 2444 3e10 4cd8
A 2445 3df4 4ce0
A 2446 3df8 4ce0
A 2447 3de8 4cd8
A 2448 3dd4 4ce0
A 2449 3dc8 4ce0
A 244a 3dd8 4cdc
A 244b 3ddc 4ce0
A 244c 3de8 4cdc
A 244d 3ddc 4cd8
A 244e 3df8 4cdc
A 244f 3e1c 4ce0
A 2450 3e40 4ce0
A 2451 3dbc 4ce0
A 2452 3dc0 4cdc
A 2453 3dc4 4ce4
A 2454 3dd8 4ce0
A 2455 3dd0 4ce0
A 2456 3dc0 4ce4
A 2457 3dc8 4cdc
A 2458 3dd0 4cd8
A 2459 3de4 4cdc
A 245a 3dd0 4ce0
A 245b 3de4 4ce4
A 245c 3dd0 4cdc
A 245d 3ddc 4cdc
A 245e 3dd4 4cdc
A 245f 3ddc 4ce0
A 2460 3dcc 4ce4
A 2461 3db8 4cd8
A 2462 3da4 4cd4
A 2463 3d9c 4cdc
A 2464 3d88 4cdc
A 2465 3d98 4ce0
A 2466 3db8 4cd8
A 2467 3dcc 4cdc
A 2468 3dd4 4ce0
A 2469 3dc0 4cdc
A 246a 3dc4 4ce0
A 246b 3db4 4ce0
A 246c 3d90 4cdc
A 246d 3da0 4cd8
A 246e 3d94 4cdc
A 246f 3d98 4ce4
A 2470 3d8c 4cdc
A 2471 3d84 4cdc
A 2472 3d98 4cdc
A 2473 3dbc 4ce0
A 2474 3dec 4ce0
A 2475 3e08 4ce0
A 2476 3df8 4cdc
A 2477 3e00 4cd4
A 2478 3de4 4cd8
A 2479 3de0 4ce0
A 247a 3df0 4ce8
A 247b 3dcc 4ce0
A 247c 3da4 4ce0
A 247d 3d84 4ce0
A 247e 3d78 4ce0
A 247f 3d80 4ce4
A 2480 3d94 4cdc
A 2481 3da8 4cd8
T 2481 1d28 6218
D 2481 0864 000c
A 2482 3db0 4cdc
A 2483 3d90 4ce0
A 2484 3d8c 4ce0
A 2485 3d84 4cdc
A 2486 3d90 4cdc
A 2487 3dc8 4cdc
A 2488 3dd0 4ce4
A 2489 3dc8 4ce4
A 248a 3d98 4ce0
A 248b 3d70 4cd8
A 248c 3d88 4cdc
A 248d 3d98 4cdc
A 248e 3da8 4ce0
A 248f 3dbc 4cdc
A 2490 3dcc 4cd8
A 2491 3db8 4ce4
A 2492 3db0 4ce4
A 2493 3dd8 4ce0
A 2494 3dec 4ce0
A 2495 3df4 4ce0
A 2496 3de4 4cd4
A 2497 3dc4 4cdc
A 2498 3dbc 4ce0
A 2499 3da0 4ce8
A 249a 3d98 4ce0
A 249b 3db0 4ce4
A 249c 3dc4 4cdc
A 249d 3dc0 4cdc
A 249e 3dd0 4ce0
A 249f 3db0 4ce0
A 24a0 3dc0 4cd8
A 24a1 3dac 4cdc
A 24a2 3d94 4ce0
A 24a3 3dac 4ce0
A 24a4 3da4 4cdc
A 24a5 3ddc 4cd8
A 24a6 3dd0 4ce0
A 24a7 3dd4 4ce0
A 24a8 3dc0 4ce0
A 24a9 3db0 4cdc
A 24aa 3db0 4cd4
A 24ab 3dd0 4ce0
A 24ac 3d8c 4ce0
A 24ad 3d50 4ce4
A 24ae 3d70 4ce0
A 24af 3d90 4cdc
A 24b0 3dc8 4ce0
A 24b1 3de4 4ce4
A 24b2 3dec 4ce0
A 24b3 3dd0 4cdc
A 24b4 3de8 4ce0
A 24b5 3dd8 4cd8
A 24b6 3dd4 4cdc
A 24b7 3dcc 4ce0
A 24b8 3dc4 4ce4
A 24b9 3da0 4ce0
A 24ba 3d9c 4ce0
A 24bb 3d90 4ce0
A 24bc 3dac 4cdc
A 24bd 3dbc 4ce8
A 24be 3da8 4ce0
A 24bf 3db8 4cd8
A 24c0 3db4 4ce0
A 24c1 3db8 4ce4
A 24c2 3dec 4ce4
A 24c3 3dd0 4cdc
A 24c4 3dc8 4ce0
A 24c5 3dd0 4ce0
A 24c6 3dc8 4ce0
A 24c7 3dbc 4ce0
A 24c8 3dbc 4cdc
A 24c9 3dcc 4cd8
A 24ca 3da0 4cdc
A 24cb 3dc4 4ce4
A 24cc 3db0 4ce0
A 24cd 3dcc 4ce0
A 24ce 3dd4 4cdc
A 24cf 3db8 4ce4
A 24d0 3dac 4ce4
A 24d1 3db8 4ce4
A 24d2 3dac 4cdc
A 24d3 3db0 4cdc
A 24d4 3db8 4cd4
A 24d5 3db0 4cdc
A 24d6 3db8 4ce0
A 24d7 3da8 4ce0
A 24d8 3db0 4ce0
A 24d9 3dc4 4ce0
A 24da 3db4 4cdc
A 24db 3dac 4ce4
A 24dc 3db0 4ce0
A 24dd 3d9c 4cdc
A 24de 3db4 4cd8
A 24df 3db8 4cdc
A 24e0 3da4 4ce4
A 24e1 3db0 4ce0
A 24e2 3dac 4cdc
A 24e3 3dac 4cdc
A 24e4 3dac 4ce4
A 24e5 3dac 4ce0
A 24e6 3db0 4ce4
A 24e7 3db4 4cdc
A 24e8 3dbc 4cd4
A 24e9 3dc4 4cdc
A 24ea 3db8 4ce0
A 24eb 3da0 4ce0
A 24ec 3db4 4ce0
A 24ed 3db0 4cdc
A 24ee 3db0 4ce4
A 24ef 3da8 4ce4
A 24f0 3dc4 4ce4
A 24f1 3da8 4ce0
A 24f2 3db4 4cdc
A 24f3 3dc0 4cd8
A 24f4 3db0 4cdc
A 24f5 3db0 4ce0
A 24f6 3dbc 4ce0
A 24f7 3dbc 4ce0
A 24f8 3dac 4ce0
A 24f9 3da4 4cdc
A 24fa 3dc0 4ce4
A 24fb 3dc0 4ce4
A 24fc 3dac 4ce0
A 24fd 3da4 4cd4
A 24fe 3db0 4cdc
A 24ff 3db4 4ce8
A 2500 3db0 4ce4
A 2501 3dac 4cdc
T 2501 1d24 6248
D 2501 0868 0010
A 2502 3db8 4cdc
A 2503 3dac 4ce0
A 2504 3da4 4ce4
A 2505 3dbc 4ce4
A 2506 3dbc 4ce0
A 2507 3db4 4cdc
A 2508 3db8 4cdc
A 2509 3dc0 4ce0
A 250a 3da4 4ce4
A 250b 3da0 4ce0
A 250c 3da0 4cdc
A 250d 3da8 4cdc
A 250e 3dac 4ce4
A 250f 3dac 4ce0
A 2510 3dd0 4ce4
A 2511 3dac 4ce0
A 2512 3db0 4cd4
A 2513 3dac 4cdc
A 2514 3da8 4ce4
A 2515 3dc4 4ce8
A 2516 3db8 4ce0
A 2517 3dc0 4ce0
A 2518 3db0 4cdc
A 2519 3dac 4ce0
A 251a 3dc0 4ce0
A 251b 3dac 4cdc
A 251c 3db4 4cd8
A 251d 3db8 4cd4
A 251e 3db4 4ce4
A 251f 3dc8 4ce0
A 2520 3db8 4ce0
A 2521 3da4 4ce0
A 2522 3db0 4ce0
A 2523 3db0 4ce4
A 2524 3da4 4ce4
A 2525 3dc8 4cdc
A 2526 3dac 4cdc
A 2527 3da8 4cd8
A 2528 3dac 4ce0
A 2529 3db0 4ce4
A 252a 3d94 4cdc
A 252b 3d9c 4ce0
A 252c 3da8 4ce0
A 252d 3da4 4ce0
A 252e 3db4 4ce4
A 252f 3dac 4ce4
A 2530 3dac 4ce0
A 2531 3dbc 4cd8
A 2532 3dbc 4cdc
A 2533 3dc4 4ce4
A 2534 3dc4 4ce4
A 2535 3da8 4ce0
A 2536 3dac 4ce4
A 2537 3db4 4cdc
A 2538 3db0 4ce0
A 2539 3db0 4ce4
A 253a 3dac 4ce0
A 253b 3db4 4cdc
A 253c 3dbc 4cdc
A 253d 3dbc 4ce4
A 253e 3dac 4ce4
A 253f 3db0 4ce0
A 2540 3da8 4cdc
A 2541 3db4 4ce0
A 2542 3da0 4cdc
A 2543 3da8 4ce0
A 2544 3db0 4ce0
A 2545 3dc4 4cd8
A 2546 3d9c 4ce0
A 2547 3db4 4cdc
A 2548 3db8 4ce4
A 2549 3da8 4ce0
A 254a 3da4 4ce0
A 254b 3da4 4ce4
A 254c 3dac 4ce4
A 254d 3da8 4ce0
A 254e 3da4 4ce4
A 254f 3d9c 4ce0
A 2550 3db0 4cd8
A 2551 3dc4 4cdc
A 2552 3da4 4ce0
A 2553 3da4 4ce0
A 2554 3db0 4ce0
A 2555 3db4 4ce0
A 2556 3dc4 4cdc
A 2557 3db8 4ce0
A 2558 3db8 4ce4
A 2559 3db8 4ce0
A 255a 3db8 4cdc
A 255b 3dac 4cdc
A 255c 3db8 4ce8
A 255d 3da4 4ce0
A 255e 3dac 4ce0
A 255f 3db0 4ce0
A 2560 3dd0 4cdc
A 2561 3db4 4ce0
A 2562 3dc4 4cdc
A 2563 3db4 4ce0
A 2564 3db4 4ce0
A 2565 3da4 4cdc
A 2566 3dc0 4cdc
A 2567 3db4 4ce4
A 2568 3dc8 4ce0
A 2569 3da8 4ce4
A 256a 3db0 4ce0
A 256b 3da4 4ce0
A 256c 3db4 4ce0
A 256d 3dc0 4ce0
A 256e 3da4 4cdc
A 256f 3dbc 4cd4
A 2570 3db4 4cdc
A 2571 3da4 4ce0
A 2572 3dc4 4ce4
A 2573 3dac 4ce4
A 2574 3da4 4ce0
A 2575 3db8 4cdc
A 2576 3da8 4ce0
A 2577 3db4 4ce0
A 2578 3da4 4ce0
A 2579 3db4 4cd8
A 257a 3da4 4cd8
A 257b 3da4 4ce4
A 257c 3db0 4ce4
A 257d 3db4 4cdc
A 257e 3db4 4cdc
A 257f 3da4 4ce0
A 2580 3db8 4ce4
A 2581 3db0 4ce0
T 2581 1d28 6258
D 2581 0860 0010
A 2582 3db8 4ce0
A 2583 3db8 4cdc
A 2584 3db0 4cdc
A 2585 3db0 4ce0
A 2586 3dc0 4ce0
A 2587 3dac 4ce0
A 2588 3db0 4ce0
A 2589 3da8 4ce4
A 258a 3db4 4ce4
A 258b 3db8 4ce0
A 258c 3db4 4ce0
A 258d 3dc4 4cdc
A 258e 3dc8 4cd8
A 258f 3dac 4cdc
A 2590 3dac 4ce0
A 2591 3dc0 4ce0
A 2592 3da4 4ce0
A 2593 3db8 4cdc
A 2594 3dac 4cdc
A 2595 3dc4 4ce0
A 2596 3db8 4ce4
A 2597 3db8 4cdc
A 2598 3d98 4cd4
A 2599 3da8 4cdc
A 259a 3dbc 4ce4
A 259b 3dac 4ce0
A 259c 3da8 4ce0
A 259d 3d98 4cdc
A 259e 3da0 4ce0
A 259f 3da8 4ce4
A 25a0 3db0 4ce4
A 25a1 3dac 4ce0
A 25a2 3da8 4cd8
A 25a3 3da8 4cdc
A 25a4 3db4 4ce4
A 25a5 3db0 4ce0
A 25a6 3da8 4cd8
A 25a7 3da4 4cdc
A 25a8 3da0 4ce4
A 25a9 3da8 4ce0
A 25aa 3da4 4ce0
A 25ab 3d9c 4ce4
A 25ac 3dbc 4cdc
A 25ad 3da0 4cd8
A 25ae 3da0 4cd8
A 25af 3da4 4ce0
A 25b0 3db0 4ce8
A 25b1 3dc0 4ce0
A 25b2 3db0 4ce4
A 25b3 3da4 4ce0
A 25b4 3db0 4ce4
A 25b5 3dc0 4ce4
A 25b6 3d94 4cdc
A 25b7 3d9c 4cdc
A 25b8 3dc4 4cd8
A 25b9 3db4 4ce4
A 25ba 3db0 4ce4
A 25bb 3dac 4ce0
A 25bc 3db8 4cd8
A 25bd 3da8 4ce0
A 25be 3db4 4ce0
A 25bf 3da8 4ce4
A 25c0 3db0 4cdc
A 25c1 3db4 4cd8
A 25c2 3da8 4cd8
A 25c3 3da8 4ce0
A 25c4 3db8 4ce4
A 25c5 3da4 4ce0
A 25c6 3dc0 4cdc
A 25c7 3da4 4ce0
A 25c8 3d9c 4ce0
A 25c9 3dac 4ce0
A 25ca 3d9c 4ce0
A 25cb 3da8 4cdc
A 25cc 3da4 4cd8
A 25cd 3d98 4cd8
A 25ce 3d9c 4ce4
A 25cf 3db0 4ce0
A 25d0 3db8 4ce0
A 25d1 3dbc 4cdc
A 25d2 3db0 4ce0
A 25d3 3da8 4cdc
A 25d4 3db8 4ce0
A 25d5 3db4 4cdc
A 25d6 3da8 4cd8
A 25d7 3d9c 4cd8
A 25d8 3db0 4ce4
A 25d9 3da4 4ce4
A 25da 3d94 4ce0
A 25db 3da4 4cdc
A 25dc 3da8 4cdc
A 25dd 3dbc 4ce0
A 25de 3da0 4ce0
A 25df 3d9c 4cdc
A 25e0 3d94 4cdc
A 25e1 3da4 4cdc
A 25e2 3db0 4cdc
A 25e3 3dac 4ce4
A 25e4 3d98 4ce0
A 25e5 3da4 4ce0
A 25e6 3da0 4ce0
A 25e7 3dac 4ce4
A 25e8 3db0 4ce0
A 25e9 3da8 4cdc
A 25ea 3db8 4cdc
A 25eb 3dac 4cd4
A 25ec 3dac 4cdc
A 25ed 3da4 4ce4
A 25ee 3da8 4ce0
A 25ef 3d98 4ce0
A 25f0 3db0 4ce4
A 25f1 3db4 4ce0
A 25f2 3db8 4ce0
A 25f3 3db0 4ce4
A 25f4 3db0 4cdc
A 25f5 3db8 4cd8
A 25f6 3db0 4cdc
A 25f7 3d9c 4ce0
A 25f8 3da4 4cdc
A 25f9 3dac 4cdc
A 25fa 3d9c 4cd8
A 25fb 3db0 4ce0
A 25fc 3db4 4ce0
A 25fd 3db8 4ce0
A 25fe 3da8 4ce0
A 25ff 3db4 4cdc
A 2600 3db8 4cdc
A 2601 3db0 4ce0
T 2601 1d28 6268
D 2601 0860 000c
A 2602 3db0 4ce0
A 2603 3db4 4cdc
A 2604 3da4 4cdc
A 2605 3da0 4ce0
A 2606 3db4 4ce4
A 2607 3db4 4ce4
A 2608 3dac 4cdc
A 2609 3db4 4ce0
A 260a 3da4 4cd4
A 260b 3db0 4cdc
A 260c 3db4 4ce0
A 260d 3db0 4ce4
A 260e 3dac 4ce0
A 260f 3d98 4cdc
A 2610 3d98 4ce0
A 2611 3da4 4ce0
A 2612 3db4 4ce4
A 2613 3dac 4cdc
A 2614 3dac 4cd8
A 2615 3db0 4cd8
A 2616 3d90 4ce0
A 2617 3dbc 4ce0
A 2618 3dbc 4cdc
A 2619 3db4 4cd8
A 261a 3db0 4cdc
A 261b 3dac 4ce0
A 261c 3dbc 4ce0
A 261d 3db8 4cdc
A 261e 3db8 4cd4
A 261f 3db4 4cd8
A 2620 3db0 4cdc
A 2621 3da8 4ce4
A 2622 3db0 4ce0
A 2623 3db0 4ce4
A 2624 3dac 4ce4
A 2625 3db4 4ce0
A 2626 3dc0 4ce4
A 2627 3dc0 4cdc
A 2628 3db4 4cd8
A 2629 3dc0 4cd8
A 262a 3db0 4cdc
A 262b 3dac 4ce4
A 262c 3dac 4ce4
A 262d 3dbc 4ce0
A 262e 3d98 4cdc
A 262f 3dac 4cdc
A 2630 3dac 4ce4
A 2631 3db4 4ce0
A 2632 3dac 4cd8
A 2633 3da8 4cdc
A 2634 3db0 4cd8
A 2635 3da4 4ce4
A 2636 3da8 4ce0
A 2637 3db4 4cdc
A 2638 3d98 4cd8
A 2639 3da8 4ce0
A 263a 3d9c 4ce0
A 263b 3da8 4ce4
A 263c 3dac 4cd8
A 263d 3da8 4cdc
A 263e 3da8 4cdc
A 263f 3da0 4ce0
A 2640 3db4 4cdc
A 2641 3da8 4ce4
A 2642 3da0 4cdc
A 2643 3dac 4ce4
A 2644 3da0 4cdc
A 2645 3dac 4cdc
A 2646 3db0 4ce0
A 2647 3da0 4cdc
A 2648 3da4 4cd0
A 2649 3db8 4cd8
A 264a 3db4 4ce0
A 264b 3dac 4ce0
A 264c 3da4 4ce0
A 264d 3dc4 4ce4
A 264e 3da4 4ce0
A 264f 3dbc 4ce4
A 2650 3da0 4ce4
A 2651 3dc4 4ce0
A 2652 3dbc 4cd8
A 2653 3dbc 4cdc
A 2654 3dc4 4ce4
A 2655 3da0 4ce4
A 2656 3db8 4cdc
A 2657 3dac 4cdc
A 2658 3db0 4ce0
A 2659 3dac 4ce4
A 265a 3dac 4ce0
A 265b 3db4 4ce0
A 265c 3dbc 4cd8
A 265d 3dbc 4cdc
A 265e 3db4 4ce4
A 265f 3da4 4cdc
A 2660 3db4 4cdc
A 2661 3da4 4ce0
A 2662 3db0 4ce0
A 2663 3da8 4ce4
A 2664 3da8 4ce0
A 2665 3da8 4ce4
A 2666 3db4 4cdc
A 2667 3db8 4cd4
A 2668 3db8 4cd8
A 2669 3dbc 4ce0
A 266a 3dc0 4ce8
A 266b 3da8 4ce0
A 266c 3d90 4ce0
A 266d 3db0 4cdc
A 266e 3dc0 4ce0
A 266f 3db4 4ce8
A 2670 3da4 4ce0
A 2671 3db8 4cdc
A 2672 3db8 4cdc
A 2673 3dac 4ce4
A 2674 3da8 4cdc
A 2675 3db0 4cdc
A 2676 3d90 4cdc
A 2677 3dac 4cd8
A 2678 3db4 4ce4
A 2679 3da4 4ce4
A 267a 3db8 4ce0
A 267b 3da8 4cd8
A 267c 3da0 4cdc
A 267d 3dac 4ce4
A 267e 3db0 4ce4
A 267f 3db0 4ce0
A 2680 3da8 4ce0
A 2681 3da8 4ce4
T 2681 1d20 6270
D 2681 0864 0008
A 2682 3dc0 4ce0
A 2683 3db4 4ce0
A 2684 3dc4 4ce0
A 2685 3db0 4ce0
A 2686 3db0 4cd8
A 2687 3dc4 4cd8
A 2688 3dac 4ce4
A 2689 3db8 4ce4
A 268a 3dac 4ce0
A 268b 3da8 4cdc
A 268c 3db0 4cdc
A 268d 3db0 4ce4
A 268e 3db0 4ce4
A 268f 3da4 4cdc
A 2690 3db4 4cd8
A 2691 3dc0 4cdc
A 2692 3db8 4ce0
A 2693 3dac 4ce0
A 2694 3dbc 4cdc
A 2695 3da0 4cdc
A 2696 3dac 4ce0
A 2697 3db0 4ce0
